歌曲編號,歌曲名稱,歌星 A,歌星 B,路徑 1,路徑 2,歌曲檔名,新增日期,分類,歌曲注音,歌曲拼音,語別,點播次數,版權01,版權02,版權03,版權04,版權05,版權06,狀態,歌名字數,人聲,狀態2,情境,歌星A注音,歌星B注音,歌星A分類,歌星B分類,歌星A簡體,歌星B簡體,歌名簡體
999948,愛瘋癡,蒙面哥,,\\SVR01\DISK01\,\\SVR02\DISK01\,999948.mpg,2021/12/04,,ㄞㄈㄔ,AFC,國語,0,揚聲,,,,,,1,3,1,1,浪漫,ㄇㄇㄍ,,男,,蒙面哥,,爱疯痴
999947,討債難,李澤堅,,\\SVR01\DISK01\,\\SVR02\DISK01\,999947.mpg,2021/12/04,,ㄊㄓㄋ,TZN,國語,0,揚聲,,,,,,1,3,1,1,浪漫,ㄌㄗㄐ,,男,,李泽坚,,讨债难
999946,最好的距離,莊心妍,,\\SVR01\DISK01\,\\SVR02\DISK01\,999946.mpg,2021/12/04,,ㄗㄏㄉㄐㄌ,ZHDJL,國語,0,揚聲,,,,,,1,5,1,1,浪漫,ㄓㄒㄧ,,女,,庄心妍,,最好的距离
999945,光,夢然,,\\SVR01\DISK01\,\\SVR02\DISK01\,999945.mpg,2021/12/04,,ㄍ,G,國語,0,揚聲,,,,,,1,1,1,1,浪漫,ㄇㄖ,,女,,梦然,,光
999944,平行時空的星星,劉增瞳,,\\SVR01\DISK01\,\\SVR02\DISK01\,999944.mpg,2021/12/04,,ㄆㄒㄕㄎㄉㄒㄒ,PXSKDXX,國語,0,揚聲,,,,,,1,7,1,1,浪漫,ㄌㄗㄊ,,女,,刘增瞳,,平行时空的星星
999943,亂世英雄,劉家榮,台一線,\\SVR01\DISK01\,\\SVR02\DISK01\,999943.mpg,2021/12/04,,ㄌㄕㄧㄒ,LSYX,國語,0,揚聲,,,,,,1,4,1,1,浪漫,ㄌㄐㄖ,ㄊㄧㄒ,男,團,刘家荣,台一线,乱世英雄
999942,我就是個樸實無華的BASS手,魚丁系,,\\SVR01\DISK01\,\\SVR02\DISK01\,999942.mpg,2021/12/04,,ㄨㄐㄕㄍㄆㄕㄨㄏㄉ    ㄕ,WJSGPSWHDS,國語,0,揚聲,,,,,,1,14,1,1,浪漫,ㄩㄉㄒ,,團,,鱼丁系,,我就是个朴实无华的BASS手
999941,OLD FASHION LUV,LEE,,\\SVR01\DISK01\,\\SVR02\DISK01\,999941.mpg,2021/12/04,,,,國語,0,揚聲,,,,,,1,15,1,1,浪漫,,,男,,LEE,,OLD FASHION LUV
999940,BABY我不想努力了,小男孩樂團,玖壹壹 洋蔥,\\SVR01\DISK01\,\\SVR02\DISK01\,999940.mpg,2021/12/04,,ㄨㄅㄒㄋㄌㄌ,WBXNLL,國語,0,揚聲,,,,,,1,10,1,1,浪漫,ㄒㄋㄏㄌㄊ,,團,,小男孩乐团,玖壹壹 洋葱,BABY我不想努力了
999939,一年半載,黃小琥,,\\SVR01\DISK02\,\\SVR02\DISK02\,999939.mpg,2021/12/04,,ㄧㄋㄅㄗ,YNBZ,國語,0,瑞影,,,,,,1,4,1,1,浪漫,ㄏㄒㄏ,,女,,黄小琥,,一年半载
